Course Name,Address,City,State,Zip Code,Hole,Course Condition,Hole_type,Tee_type,Lat,Long,Pay To Play,Private?,Avg Score,Played,Comments,
Salmon River DGC     ,30001 Cecilville Road,Cecilville,California,96031,18, -NP-,Mach X,Concrete,41.140600,-123.140000,yes,yes,0,no,,
San Lauren Park ,,Bakersfield,California,93312,9, -NP-,DISCatcher,Concrete,35.397222,-119.065833,no,no,0,no,,
Santa Anita Park   ,2000 Bell St,Sacramento,California,95825,9, -NP-,Mach 3,Grass,38.607038,-121.410776,no,no,0,no,,
Santa Margarita KOA DGC   ,4765 Santa Margarita Lake Road,Santa Margarita,California,93453,9, -NP-,Mach 3,Rubber,35.321305,-120.499806,yes,no,0,no,,
Scotts Valley High School Circuit ,555 Glenwood Dr.,Scotts Valley,California,95066,4, -NP-,Mach 2,Asphalt,37.069967,-122.006392,no,no,0,no,,
Sea Pines Golf Resort   ,1945 Solano Street,Los Osos,California,93402,9, -NP-,DISCatcher,Grass,35.315817,-120.853815,yes,no,0,no,,
Sequoia Park DGC ,2150 Tracy Ave.,Simi Valley,California,93063,9, -NP-,DISCatcher,Grass,34.274541,-118.724135,no,no,0,no,,
Shady Oaks Park    ,7208 Hazel Avenue,Sacramento (Orangevale),California,95662,18, -NP-,Mach 3,Concrete,38.696589,-121.224600,no,no,0,no,,
Shady Rest Pines  ,,Mammoth Lakes,California,93546,20, -NP-,Object,Grass,37.653792,-118.953800,no,no,0,no,,
Shastice Park,800 Rockfellow Dr,Mount Shasta,California,96067,18, -NP-,Mixed,Dirt,41.324680,-122.302360,no,no,0,no,,
Sherwood Forest  ,1928 Manzanita Avenue,Chico,California,95928,9, -NP-,Mach 5,Concrete,39.759703,-121.799669,no,no,0,no,,
Sierra College DGC    ,11001 College Trail,Truckee,California,96161,18, -NP-,Mach 3,Rubber,39.322040,-120.205642,no,no,0,no,,
Sierra Pines DGC  ,7169 Sierra Pines Road,Twin Bridges,California,95735,6, -NP-,Mach 3,Dirt,38.809614,-120.105680,no,no,0,no,,
Silva Acres DGC    ,10535 Silva Ave.,Nevada City,California,95959,9, -NP-,Baskets,Natural,39.257990,-121.009812,no,yes,0,no,,
Silver Creek Park ,,Bakersfield,California,93309,9, -NP-,Mach 3,Concrete,35.302286,-119.081410,no,no,0,no,,
Simpson University ,2211 College Drive,Redding,California,96003,9, -NP-,Mach New 2,Gravel,40.615128,-122.332989,no,yes,0,no,,
Sinsheimer Park DGC ,,San Luis Obispo,California,93401,9, -NP-,DISCatcher,Concrete,35.267603,-120.646150,no,no,0,no,,
Sky High DGC     ,,Wrightwood,California,92397,27, -NP-,DISCatcher,Rubber,34.385264,-117.687450,yes,yes,0,no,,
Skyline Wilderness Park    ,2201 Imola Ave.,Napa,California,94559,18, -NP-,DISCatcher,Mixed,38.278963,-122.249450,yes,no,0,no,,
Skyline Wilderness Park - Pitch & Putt    ,2201 Imola Ave,Napa,California,94559,9, -NP-,DISCatcher,Rubber,38.278963,-122.249450,yes,no,0,no,,
Somerset Country Club  ,,Somerset,California,95684,18, -NP-,Mixed,Other,38.614171,-120.711570,no,yes,0,no,,
South Bay Community Center Park ,2180 Palisades Avenue,Los Osos,California,93402,9, -NP-,Home Made,Dirt,35.312582,-120.836359,no,no,0,no,,
Southern Humbolt Community Park ,,Garberville,California,95542,18, -NP-,Baskets,Dirt,40.088685,-123.794623,no,no,0,no,,
Spartan DGP,200 Coe Avenue,Seaside,California,93955,9, -NP-,DISCatcher,Turf,36.625943,-121.834733,no,yes,0,no,,
Splat Hill DGC - Back       ,6840 Marysville Road,Browns Valley,California,95918,18, -NP-,Mach 5,Concrete,39.318486,-121.365775,yes,yes,0,no,,
Splat Hill DGC - Front       ,6841 Marysville Road,Browns Valley,California,95918,18, -NP-,Mach 5,Concrete,39.318486,-121.365776,yes,yes,0,no,,
Squaw Valley DGC   ,1960 Squaw Valley Road,Olympic Valley,California,96146,18, -NP-,Mach 5,Rubber,39.196975,-120.237164,no,no,0,no,,
Squirrel Creek DGC    ,,Grass Valley,California,95949,18, -NP-,Mach 3,Concrete,39.217363,-121.075840,no,no,0,no,,
Stafford Lake County Park    ,,Novato,California,94947,18, -NP-,Mach 3,Concrete,38.112730,-122.653190,yes,no,0,no,,
Steelhead DGC @ Creekside  ,,Willow Creek,California,95573,18, -NP-,Mach 3,Gravel,40.942151,-123.633220,no,no,0,no,,
Strother Park  ,,Arroyo Grande,California,93420,4, -NP-,Mach 2,Grass,35.129817,-120.557265,no,no,0,no,,
Sun Valley    ,,La Mesa,California,91941,9, -NP-,DISCatcher,Mixed,32.771462,-117.017160,yes,no,0,no,,
Sunbeam Lake  ,1750 Drew Road,Seeley,California,92273,9, -NP-,Baskets,Concrete,32.782444,-115.688608,no,yes,0,no,,
Sunrise DGC      ,7925 Arcadia Drive,Citrus Heights,California,95610,18, -NP-,DISCatcher,Mixed,38.681526,-121.270081,yes,yes,0,no,,
Sunset Park ,3533 Linda Vista Dr.,San Marcos,California,92078,6, -NP-,Mach 3,Concrete,33.143355,-117.211928,no,no,0,no,,
Sycamore Park DGC  ,Granby Avenue and Planetree Avenue,Simi Valley,California,93065,12, -NP-,DISCatcher,Natural,34.254563,-118.745895,no,no,0,no,,
Sylmar (Veterans Park)   ,13000 Sayre St,Sylmar,California,91342,18, -NP-,DISCatcher,Concrete,34.325466,-118.417930,yes,no,0,no,,
Taylor Mountain DGC  ,2080 Kawana Terrace,Santa Rosa,California,95404,18, -NP-,Mach 5,Rubber,38.415297,-122.692566,no,no,0,no,,
The Brewing Lair ,67007 CA Hwy 70,Blairsden,California,96103,9, -NP-,DGA,Natural,39.779421,-120.610043,no,no,0,no,,
The Stadium Course  ,1400 Nogal Street,Salinas,California,93905,18, -NP-,Mach 5,Concrete,36.698434,-121.606329,no,no,0,no,,
Thousand Pines DGC - Lower Course   ,359 Thousand Pines Rd,Crestline,California,92325,18, -NP-,Baskets,Dirt,34.249325,-117.278640,no,yes,0,no,,
Thousand Pines DGC - Upper Course  ,359 Thousand Pines Rd,Crestline,California,92325,18, -NP-,Baskets,Dirt,34.249325,-117.278640,no,yes,0,no,,
Three Links Camp   ,21950 Highway 108,Mi-Wuk Village,California,95346,18, -NP-,Mach 5,Dirt,38.078871,-120.156998,yes,no,0,no,,
Toney's Mountain Golf     ,,Grass Valley,California,95945,27, -NP-,DISCatcher,Concrete,39.227358,-120.873000,yes,yes,0,no,,
Troy Korsgaden DGC ,,Visalia,California,93291,12, -NP-,Mach 2,Concrete,36.322660,-119.280410,no,yes,0,no,,
Truckee River Regional Park    ,,Truckee,California,96161,18, -NP-,Mach 3,Concrete,39.326583,-120.176810,no,no,0,no,,
Turtle Rock Park  ,17300 State Route 89,"Markleeville, CA",California,96120,18, -NP-,Mach 3,Rubber,38.723220,-119.800844,no,no,0,no,,
Twila-Reid Park ,,Anaheim,California,92803,9, -NP-,Mach 1,Concrete,33.823683,-117.998060,no,no,0,no,,
Two Harbors DGC  ,School House Rd.,"Two Harbors, Catalina Island",California,90704,10, -NP-,Baskets,n/a,33.440000,-118.498000,no,no,0,no,,
U.C. Santa Cruz ,1156 High Street,Santa Cruz,California,95064,9, -NP-,Mach 5,Natural,36.995129,-122.053470,no,no,0,no,,
UC Irvine,,Irvine,California,92697,18, -NP-,Object,Concrete,33.646251,-117.840739,no,no,0,no,,
University of OB ,,Weed,California,96094,18, -NP-,Baskets,Concrete,41.411888,-122.390810,no,no,0,no,,
University of Redlands DGC,1200 E Colton Ave,Redlands,California,92374,9, -NP-,DISCatcher,Dirt,34.060174,-117.163863,no,no,0,no,,
Valley Center Community Church DGC ,,Valley Center,California,92082,9, -NP-,Baskets,Natural,33.240770,-117.023908,no,no,0,no,,
Van Buren Golf Center   ,,Riverside,California,92503,18, -NP-,DesignerPro,Grass,33.953014,-117.455657,yes,no,0,no,,
Vandenberg AFB ,,Vandenberg Air Force Base,California,93437,18, -NP-,DISCatcher,Grass,34.750728,-120.521340,no,yes,0,no,,
Vinsonhaler Park ,Shasta St,Orland,California,95963,9, -NP-,Mach 5,Concrete,39.751554,-122.188834,no,no,0,no,,
Walden Park ,2698 Oak Rd.,Walnut Creek,California,94697,9, -NP-,Mach 5,Concrete,37.920991,-122.057666,no,no,0,no,,
Waller Park  ,,Santa Maria,California,93455,27, -NP-,DISCatcher,Concrete,34.904362,-120.437950,no,no,0,no,,
Warner Street Disc Golf ,,Alturas,California,96101,9, -NP-,Baskets,Natural,41.487779,-120.557469,no,no,0,no,,
Westport Community DGC  ,,Westport,California,95488,9, -NP-,DGA,Dirt,39.638258,-123.783428,no,no,0,no,,
Westside Park ,,Wasco,California,93280,9, -NP-,DISCatcher,Concrete,35.596535,-119.353999,no,no,0,no,,
Whale Rock DGC     ,1315 North Bethel Road,Paso Robles,California,93476,18, -NP-,Mach 5,Concrete,35.577309,-120.720166,yes,yes,0,no,,
White Pines DGC ,End of Blagen Rd,Arnold,California,95223,18, -NP-,Mixed,Mixed,38.266612,-120.341305,no,no,0,no,,
Whittier Narrows Park  ,,South El Monte,California,91733,27, -NP-,Baskets,Concrete,34.033583,-118.052430,no,no,0,no,,
Willows Rotary DGC ,S Villa Ave,Willows,California,95988,19, -NP-,Baskets,Rubber,39.517669,-122.206662,no,no,0,no,,
Woodward Legacy DGC   ,,Fresno,California,93720,18, -NP-,DISCatcher,Concrete,36.868383,-119.786000,yes,no,0,no,,
Wrightwood Country Club     ,,Wrightwood,California,92397,18, -NP-,Baskets,Grass,34.355846,-117.633070,yes,yes,0,no,,
YMCA Camp Marston   ,4761 Pine Hills Road,Julian,California,92036,9, -NP-,Other,Dirt,33.042646,-116.618690,no,yes,0,no,,
YMCA Camp Oakes   ,47400 Monte Vista Dr,Big Bear City,California,92314,9, -NP-,Mach 3,Dirt,34.231576,-116.754681,no,yes,0,no,,
YMCA Camp Whittle  ,31701 Rim of the World Drive,Fawnskin,California,92333,9, -NP-,Mach 3,Natural,34.282705,-116.969510,no,no,0,no,,
Yucaipa Regional Park DGC     ,,Yucaipa,California,92399,18, -NP-,DISCatcher,Concrete,34.049490,-117.047360,yes,no,0,no,,
Zalud Park ,700 N. El Granito St.,Porterville,California,,9, -NP-,DISCatcher,Natural,36.078029,-119.021689,no,no,0,no,,
