Course Name,Address,City,State,Zip Code,Hole,Course Condition,Hole_type,Tee_type,Lat,Long,Pay To Play,Private?,Avg Score,Played,Comments,
Emerald Hills    ,938 Wilmington Way,Redwood City,California,94061,18, -NP-,DGA,Rubber,37.454311,-122.265026,yes,no,0,no,,
Enterprise Community Park    ,,Redding,California,96002,18, -NP-,Mach 3,Concrete,40.545551,-122.338463,no,no,0,no,,
Evergreen Open Space  ,,Santa Barbara (Goleta),California,93117,18, -NP-,DISCatcher,Concrete,34.439394,-119.891850,no,no,0,no,,
Fahrens Park DGC ,,Merced,California,95248,20, -NP-,Mach 3,Dirt/Carpet/,37.326749,-120.492672,no,no,0,no,,
Feeney Park DGC ,196 Pennsylvania Gulch Rd,Murphy's,California,95247,18, -NP-,Mach 5,Rubber,38.131601,-120.452532,no,no,0,no,,
Ferns Park ,,Woodland,California,95695,9, -NP-,Mach X,Concrete,38.669533,-121.796600,no,no,0,no,,
Finnon Reservoir DGC    ,9100 Rock Creek Road,Placerville,California,95667,20, -NP-,DISCatcher,Natural,38.798489,-120.753200,yes,no,0,no,,
Firebaugh DGC ,,Firebaugh,California,93622,10, -NP-,DGA,Mixed,36.859420,-120.451258,no,no,0,no,,
Ford Park  ,,Redlands,California,92373,18, -NP-,DISCatcher,Grass,34.045530,-117.159220,no,no,0,no,,
Forest Home @ Ojai Valley DGC  ,655 Burnham Road,Oak View,California,93022,9, -NP-,Baskets,Mixed,34.412659,-119.306689,no,yes,0,no,,
Foxwood @ Lake Almanor    ,51 Foxwood Drive,Westwood,California,96137,7, -NP-,Mach X,Mixed,40.290419,-121.124016,no,yes,0,no,,
Franklin Field ,,Taft,California,93268,18, -NP-,Mach 3,Concrete,35.153815,-119.441730,no,no,0,no,,
Freedom Park ,1920 Valley Springs Ave,Hanford,California,93230,9, -NP-,Baskets,Concrete,36.346489,-119.627450,no,no,0,no,,
Frontier Park ,1400 Mitchell Ave,Tustin,California,92780,9, -NP-,Mach 1,Concrete,33.731700,-117.819410,no,no,0,no,,
Gallo Park DGC ,Winton Parkway,Livingston,California,95334,4, -NP-,Mach 5,Mixed,37.379417,-120.734949,no,no,0,no,,
Gates of Hell DGC ,19001 Santee Lane,Valley Center,California,92082,9, -NP-,Baskets,Mixed,33.214163,-116.940282,no,yes,0,no,,
Gehringer Park Rec. Club ,1790 Lynwood Drive,Concord,California,94519,4, -NP-,DISCatcher,Rubber,37.985154,-121.993522,no,yes,0,no,,
Georgetown School DGC   ,6530 Wentworth Springs Rd,Georgetown,California,95634,9, -NP-,DISCatcher,Natural,38.912449,-120.827256,no,no,0,no,,
Glen Helen Regional Park DGC    ,2555 Glen Helen Parkway,San Bernardino,California,92407,18, -NP-,DISCatcher,Concrete,34.208821,-117.407337,yes,no,0,no,,
Goat Hill Park    ,,Oceanside,California,92054,18, -NP-,DISCatcher,Rubber,33.197687,-117.358714,yes,no,0,no,,
Golden Gate Park DGC  ,,San Francisco,California,94121,18, -NP-,Mach 3,Concrete,37.771417,-122.488940,no,no,0,no,,
Green Valley Community DGC ,39118 Calle Bonita,Green Valley,California,91390,9, -NP-,Baskets,Dirt,34.609694,-118.393778,no,no,0,no,,
Hammer of Thor DGC,501 East Pennsylvania Avenue,Redlands,California,92374,9, -NP-,DISCatcher,Mixed,34.076430,-117.176069,no,no,0,no,,
Hammon Grove Park  ,,Browns Valley,California,95918,9, -NP-,Mach 2,Concrete,39.230018,-121.399232,no,no,0,no,,
Hanging Oaks    ,,Penn Valley,California,95936,18, -NP-,Mach 3,Concrete,39.204933,-121.194199,no,no,0,no,,
Harbor High Pirates DGC,300 La Fonda Avenue,Santa Cruz,California,95062,5, -NP-,DGA,Mixed,36.985689,-121.993125,no,no,0,no,,
Hart Park - Shark Tooth Mtn.   ,,Bakersfield,California,93308,18, -NP-,Mach 3,Concrete,35.444685,-118.906220,no,no,0,no,,
Hart Park - Suicide Flats    ,,Bakersfield,California,93308,18, -NP-,Mach 3,Concrete,35.445236,-118.905566,no,no,0,no,,
HCP DGC  ,3296 Humphrey Rd.,Loomis,California,95650,9, -NP-,DISCatcher,Concrete,38.830896,-121.203253,no,no,0,no,,
Heilmann Park  ,,Atascadero,California,93422,18, -NP-,DISCatcher,Concrete,35.465149,-120.641052,no,no,0,no,,
Hellyer Park (Coyote Creek DGC)  ,,San Jose,California,95111,9, -NP-,Mach 3,Concrete,37.280968,-121.805351,no,no,0,no,,
Hensley Lake DGC ,,Raymond,California,93653,18, -NP-,Mach 2,Gravel,37.121206,-119.869434,no,no,0,no,,
Heritage Park DGC  ,,Lemoore,California,93245,18, -NP-,DISCatcher,Concrete,36.311348,-119.772983,no,no,0,no,,
Highland Springs Reservoir ,,Lakeport,California,95453,22, -NP-,Mach 3,Rubber,38.939060,-122.901120,no,no,0,no,,
Howard Park DGC    ,600 Church Street,Ione,California,95640,12, -NP-,Mixed,Carpet,38.346019,-120.930609,no,no,0,no,,
Humboldt State University   ,,Arcata,California,95521,18, -NP-,Baskets,Gravel,40.873164,-124.073290,no,no,0,no,,
Huntington Beach Central Park   ,,Huntington Beach,California,92649,18, -NP-,DISCatcher,Rubber,33.699266,-118.006630,yes,no,0,no,,
Isla Vista Peace Course ,,Santa Barbara (Isla Vista),California,93117,9, -NP-,Mach 5,Dirt,34.412614,-119.863650,no,no,0,no,,
Jenness Park DGC   ,29005 California 108,Cold Springs,California,95335,9, -NP-,Mach 2,Concrete,38.138645,-120.062805,no,yes,0,no,,
Joe Hamilton Elementary ,,Crescent City,California,95531,7, -NP-,Mach 2,Concrete,41.756203,-124.206313,no,no,0,no,,
John Mackey Park ,,Sacramento,California,95815,9, -NP-,Mach 3,Concrete,38.625113,-121.423330,no,no,0,no,,
Kelley Park ,1300 Senter Rd,San Jose,California,95112,18, -NP-,Baskets,Rubber,37.320476,-121.855502,no,no,0,no,,
Kelly Ridge   ,5131 Royal Oaks Dr.,Oroville,California,95966,18, -NP-,DISCatcher,Grass,39.531834,-121.471775,yes,no,0,no,,
Kern River DGC ,,Bakersfield,California,93309,12, -NP-,Mixed,Concrete,35.364941,-119.068290,no,no,0,no,,
Kings River DGC  ,,Kingsburg,California,93631,18, -NP-,Baskets,Concrete,36.503362,-119.511825,yes,no,0,no,,
Kirkwood Mountain Resort  ,1501 Kirkwood Meadows Drive,Kirkwood,California,95646,18, -NP-,DISCatcher,Rubber,38.683994,-120.066910,no,no,0,no,,
Kit Carson Park DGC    ,3333 Bear Valley Parkway,Escondido,California,92025,18, -NP-,Mach 3,Concrete,33.078912,-117.059294,no,no,0,no,,
KOA Campground     ,1600 Highway 20,Willits,California,95490,18, -NP-,DGA,Concrete,39.408275,-123.380300,yes,yes,0,no,,
La Mirada Regional Park - Back 18  ,13701 Adelfa Dr,La Mirada,California,90638,18, -NP-,DISCatcher,Concrete,33.906633,-118.004891,no,no,0,no,,
La Mirada Regional Park - Front 18  ,13701 Adelfa Dr,La Mirada,California,90638,18, -NP-,Mach 3,Concrete,33.905404,-118.004875,no,no,0,no,,
Lagoon Valley   ,,Vacaville,California,95688,27, -NP-,Mach 2,Mixed,38.329700,-122.010002,yes,no,0,no,,
Laguna Lake ,,San Luis Obispo,California,93405,18, -NP-,Mach 5,Concrete,35.262576,-120.684246,no,no,0,no,,
Lake Amador - Campground   ,7500 Lake Amador Drive,Ione,California,95640,18, -NP-,Mixed,Carpet,38.300011,-120.881302,yes,no,0,no,,
Lake Amador - North      ,7501 Lake Amador Drive,Ione,California,95640,18, -NP-,Mach 5,Concrete,38.302424,-120.888458,yes,yes,0,no,,
Lake Amador - South     ,7502 Lake Amador Drive,Ione,California,95640,18, -NP-,Mach 5,Concrete,38.302424,-120.888458,yes,no,0,no,,
Lake California DGC    ,19999 Lake California Dr,Cottonwood,California,96022,9, -NP-,Mach New 2,Natural,40.371259,-122.226310,no,yes,0,no,,
Lake Chabot DGC     ,11450 Golf Links Rd,Oakland,California,94605,9, -NP-,Mach 5,Grass,37.739087,-122.119389,yes,no,0,no,,
Lake Forest Golf Park    ,23308 Cherry Ave,Lake Forest,California,92630,9, -NP-,DISCatcher,Grass,33.623653,-117.689913,yes,no,0,no,,
Lake Mendocino - North  ,,Ukiah,California,95482,18, -NP-,Mach 3,Rubber,39.235548,-123.183340,no,no,0,no,,
Lake Mendocino - South  ,,Ukiah,California,95482,18, -NP-,Mach 5,Mixed,39.205451,-123.184460,no,no,0,no,,
Lake Piru Recreation Area    ,,Piru,California,93040,9, -NP-,Baskets,Woodchips,34.478311,-118.770208,yes,no,0,no,,
Lake Sonoma   ,3333 Skaggs Springs Rd.,Geyserville,California,95441,9, -NP-,DISCatcher,Concrete,38.717780,-122.999170,yes,no,0,no,,
Lava Creek DGC       ,5325 Clark Rd.,Paradise,California,95969,18, -NP-,Mach 3,Concrete,39.740759,-121.608493,yes,yes,0,no,,
Lee Fong Park DGC  ,101 Lorenz Rd.,Weaverville,California,96093,18, -NP-,Baskets,Concrete,40.729210,-122.940470,no,no,0,no,,
Lemoore NAS ,Avenger Ave,Lemoore,California,93245,9, -NP-,DGA,Concrete,36.257303,-119.903428,no,no,0,no,,
Liberty Park ,19211 Studebaker Rd,Cerritos,California,90703,9, -NP-,Baskets,Concrete,33.855649,-118.100660,no,no,0,no,,
Lions Park  ,,Placerville,California,95667,12, -NP-,Mach 3,Concrete,38.718993,-120.775830,no,no,0,no,,
Lions Town & Country Park  ,2604 S. Plumas St,Madera,California,93637,9, -NP-,DISCatcher,Grass,36.951212,-120.091671,no,no,0,no,,
Little Basin DGC    ,21700 Little Basin Road,Boulder Creek,California,95006,9, -NP-,Baskets,Dirt,37.157615,-122.202081,yes,no,0,no,,
Livermore DGC  ,1717 South Livermore Ave,Livermore,California,94550,9, -NP-,Mach New 2,Rubber,37.670244,-121.750816,no,no,0,no,,
Lockeford Springs DGC   ,16360 CA-88,Lodi,California,95240,18, -NP-,Mach 5,Grass,38.127947,-121.164007,yes,no,0,no,,
Los Arboles DGC ,304 Hillcrest Avenue,Marina,California,93933,9, -NP-,Mach 2,Rubber,36.678750,-121.796626,no,no,0,no,,
Low Gap Park ,841 Low Gap Road,Ukiah,California,96582,18, -NP-,Mach 2,Concrete,39.162390,-123.227956,no,no,0,no,,
Lucchesi Park ,,Petaluma,California,94954,9, -NP-,Mach 5,Dirt,38.253162,-122.627740,no,no,0,no,,
Mad River Pump Station #4 ,375 Warren Creek Rd,Arcata,California,95521,9, -NP-,Baskets,Mixed,40.904285,-124.039460,no,no,0,no,,
Mallard Lake    ,4238 CA-99,Yuba City,California,95991,18, -NP-,DISCatcher,Other,39.063818,-121.633246,yes,no,0,no,,
Manchester Beach KOA   ,44300 Kinney Road,Manchester,California,95459,18, -NP-,DGA,Natural,38.980454,-123.693448,yes,no,0,no,,
Manila Bay DGC  ,,Manila,California,95521,9, -NP-,Mach 2,Concrete,40.851987,-124.162280,no,no,0,no,,
Mast Park ,9125 Carlton Hills Blvd,Santee,California,92071,9, -NP-,DISCatcher,Rubber,32.845483,-116.994441,no,no,0,no,,
McClatchy Park   ,3500 5th Avenue,Sacramento,California,95814,9, -NP-,DGA,Concrete,38.547406,-121.469955,no,no,0,no,,
Mendocino College DGC ,,Ukiah,California,95482,18, -NP-,DGA,Grass,39.188414,-123.230280,no,no,0,no,,
Mendocino High School  ,,Mendocino,California,95460,18, -NP-,Mach 2,Dirt,39.308593,-123.802469,no,no,0,no,,
Mercy Hot Springs DGC   ,62964 Little Panoche Rd,Firebaugh,California,93622,9, -NP-,Home Made,Natural,36.704311,-120.859756,yes,yes,0,no,,
Michael Faklis Park ,5250 Cosumnes Dr.,Stockton,California,95219,18, -NP-,Baskets,Other,38.048649,-121.377060,no,no,0,no,,
Micke Grove   ,11793 N. Micke Grove Rd,Lodi,California,95240,18, -NP-,DISCatcher,Concrete,38.085307,-121.270201,yes,no,0,no,,
Mills Park ,,Carson,California,90745,9, -NP-,Mach 2,Mixed,33.848766,-118.247090,no,no,0,no,,
Miner's Point DGC  ,JC Dump Rd,Junction City,California,96048,18, -NP-,Baskets,Natural,40.727901,-123.043565,no,no,0,no,,
Mojave Greens ,210 Popson Ave.,Edwards,California,93523,18, -NP-,DISCatcher,Rubber,34.923484,-117.904029,no,no,0,no,,
Mojave Narrows DGC   ,18000 Yates Road,Victorville,California,92395,18, -NP-,DISCatcher,Concrete,34.511606,-117.272460,no,no,0,no,,
Mollie Joyce DGC ,23922 Woodfern Drive,Pioneer,California,95666,18, -NP-,Mach 5,Rubber,38.431902,-120.584596,no,no,0,no,,
Montiel Park DGC ,,San Marcos,California,92069,9, -NP-,DISCatcher,Concrete,33.131078,-117.114199,no,no,0,no,,
Monument Ridge DGC   ,,Raymond,California,93653,9, -NP-,Mach 2,Other,37.215241,-119.991490,yes,no,0,no,,
Moraga Commons Park  ,1425 St Marys Rd,Moraga,California,94556,9, -NP-,Mach X,Pavers,37.839661,-122.125000,no,no,0,no,,
Morley Field    ,,San Diego,California,92104,19, -NP-,Mach 3,Concrete,32.736683,-117.135712,yes,no,0,no,,
Mountain Pride Park  ,41086 Mountain Pride Drive,Murrieta,California,92562,18, -NP-,DISCatcher,Mixed,33.579069,-117.218416,no,no,0,no,,
Mt Whitney Golf Club   ,2559 S Main St,Lone Pine,California,93545,9, -NP-,Baskets,Natural,36.577173,-118.066255,yes,no,0,no,,
Mt. Baldy DGC   ,8401 Mt Baldy Rd.,Mt. Baldy,California,91759,18, -NP-,Home Made,Dirt,34.269839,-117.622628,yes,yes,0,no,,
Mt. Waterman DGC    ,California 2 Hwy,Mt. Waterman,California,91011,18, -NP-,DISCatcher,Rubber,34.349722,-117.928611,yes,no,0,no,,
National/Johnson Field ,,Travis AFB,California,94535,9, -NP-,Other,Grass,38.273110,-121.932690,no,yes,0,no,,
New Hogan Dam - East   ,,Valley Springs,California,95252,18, -NP-,Mach 5,Natural,38.163420,-120.799510,yes,no,0,no,,
New Hogan Dam - West   ,,Valley Springs,California,95252,18, -NP-,Mach 5,Dirt,38.163420,-120.799510,yes,no,0,no,,
Nicklaus DGP ,Oak Valley Parkway,Beaumont,California,92223,9, -NP-,DISCatcher,Turf,33.957950,-117.063800,no,no,0,no,,
North Tahoe Regional Park   ,,Tahoe Vista,California,96148,18, -NP-,Mach 3,Rubber,39.248639,-120.052990,no,no,0,no,,
Northside Park  ,,Azusa,California,91702,9, -NP-,Mach 2,Concrete,34.143299,-117.912033,no,no,0,no,,
Oak Grove (Hahamongna Park)  ,Oak Grove Dr. and Foothill Blvd,Pasadena,California,91103,23, -NP-,DISCatcher,Concrete,34.193283,-118.176110,no,no,0,no,,
Oak Grove Park - Gold   ,,Stockton,California,95204,18, -NP-,Mach 3,Concrete,38.056633,-121.366500,yes,no,0,no,,
Oak Grove Park - Purple    ,,Stockton,California,95204,19, -NP-,Mach 3,Natural,38.056633,-121.366500,yes,no,0,no,,
Oak View Park DGC ,Oak View Drive,Beaumont,California,92223,18, -NP-,DISCatcher,Mixed,33.952631,-116.992167,no,no,0,no,,
Old Ranch Park  ,401 Old Ranch Rd,San Ramon,California,94582,10, -NP-,Mach 5,Mixed,37.734680,-121.919172,no,no,0,no,,
Old Sawmill   ,,Pebble Beach,California,93940,24, -NP-,Object,Dirt,36.599125,-121.934870,no,yes,0,no,,
Olive Glen   ,3007 Dehesa Road,El Cajon,California,92019,9, -NP-,Mach X,Mixed,32.786684,-116.886055,yes,yes,0,no,,
OVS DGC   ,723 El Paseo Road,Ojai,California,93023,9, -NP-,DISCatcher,Mixed,34.450016,-119.161330,no,yes,0,no,,
Oxford Circle Park ,,Davis,California,95616,9, -NP-,Mach 1,Concrete,38.547183,-121.765710,no,no,0,no,,
Pacific Crest Trail DGC  ,Forest Route 22S05/Sherman Pass Rd,Kennedy Meadows,California,93527,9, -NP-,Baskets,Natural,36.018318,-118.125657,no,no,0,no,,
Palm Desert DGC ,,Palm Desert,California,92260,9, -NP-,DISCatcher,Concrete,33.746311,-116.363560,no,yes,0,no,,
Palm Lakes Golf Course     ,1300 W Phillips Blvd.,Pomona,California,91766,9, -NP-,DISCatcher,Concrete,34.045407,-117.769042,yes,no,0,no,,
Palo Cedro Community Park ,,Palo Cedro,California,96073,9, -NP-,Baskets,Concrete,40.561565,-122.235987,no,no,0,no,,
Paloma Del Sol DGC ,42945 Corte Cabrera,Temecula,California,92592,9, -NP-,Lightning DB-5,Concrete,33.496179,-117.104669,no,no,0,no,,
Parque De La Raza DGC  ,,San Jose,California,95111,9, -NP-,Mach 5,Rubber,37.276821,-121.804237,no,no,0,no,,
Penryn Elementary School ,6885 English Colony Way,Penryn,California,95663,7, -NP-,DGA,Natural,38.854130,-121.176490,no,no,0,no,,
Peregrine Point  ,7026 Deer Creek Hwy.,Chico,California,95928,18, -NP-,Mach 5,Concrete,39.776849,-121.732390,no,no,0,no,,
Perry Championship DGC ,,Visalia,California,93277,18, -NP-,DISCatcher,Concrete,36.282925,-119.310930,no,no,0,no,,
Perry Outback DGC  ,,Visalia,California,93277,18, -NP-,DGA,Concrete,36.280114,-119.307135,no,no,0,no,,
Pine Grove  ,2600 Virginia Ave,Shasta Lake,California,96019,18, -NP-,Tone,Mixed,40.669161,-122.352239,no,no,0,no,,
Pine Summit DGC    ,700 S. Wren,Big Bear Lake,California,92315,9, -NP-,Chainstar,Dirt,34.239633,-116.894858,no,yes,0,no,,
Pinto Lake DGC   ,110 Rancho Todos Santos Rd,Watsonville,California,95077,18, -NP-,Mach 3,Concrete,36.964374,-121.772043,no,no,0,no,,
Pioneer Elementary DGC ,24625 Highway 88,Pioneer,California,95666,9, -NP-,Object,Mixed,38.432072,-120.570536,no,no,0,no,,
Pioneer Park ,,Somerset,California,95784,18, -NP-,Mach 3,Concrete,38.608022,-120.702160,no,no,0,no,,
Planada Elementary DGC,9525 Brodrick Ave,Planada,California,95365,9, -NP-,Mach X,Mixed,37.289389,-120.315111,no,no,0,no,,
Prado DGC     ,16700 S. Euclid Ave,Chino,California,91708,18, -NP-,DISCatcher,Concrete,33.945665,-117.650281,yes,no,0,no,,
Preisker DGC   ,330 Hidden Pines Way,Santa Maria,California,93455,18, -NP-,Mach 3,Concrete,34.985702,-120.438530,no,no,0,no,,
Private Anderson Park ,,Carson,California,90746,9, -NP-,Baskets,Concrete,33.857805,-118.235820,no,no,0,no,,
Pug Ugly Mine DGC  ,999 Park Dr,San Andreas,California,95249,18, -NP-,Tone,Natural,38.187978,-120.667289,no,no,0,no,,
Rabbit Flats   ,2525 N. Moorpark Road,Thousand Oaks,California,91360,18, -NP-,DISCatcher,Concrete,34.213115,-118.870676,no,no,0,no,,
Rancho Acacias Park ,,Murrieta,California,92563,9, -NP-,DISCatcher,Mixed,33.569297,-117.174932,no,no,0,no,,
Rancho Jurupa Park   ,4800 Crestmore Road,Riverside,California,92509,9, -NP-,DISCatcher,Concrete,33.983765,-117.410257,yes,no,0,no,,
RCRC DGC  ,38040 Old Stage Rd.,Gualala,California,95445,13, -NP-,Baskets,Dirt,38.798740,-123.530293,no,no,0,no,,
Regency Community Park ,,Sacramento,California,95835,9, -NP-,Mach 3,Concrete,38.674433,-121.503720,no,no,0,no,,
Reichmuth Park  ,6135 Gloria Drive,Sacramento,California,95831,9, -NP-,Mach 3,Concrete,38.514434,-121.517144,no,no,0,no,,
Rick's Revenge   ,,Bear Valley,California,95223,18, -NP-,Mach 2,Rubber,38.463771,-120.040520,no,no,0,no,,
River Park Happy 9  ,110 Park Way,Happy Camp,California,96039,9, -NP-,Baskets,Natural,41.795624,-123.371146,no,no,0,no,,
River Walk DGC ,,Corona,California,92880,7, -NP-,DGA,Concrete,33.947020,-117.580348,no,no,0,no,,
Riverbend Park - North  ,,Oroville,California,95965,18, -NP-,Mach 2,Concrete,39.506657,-121.576140,no,no,0,no,,
Riverbend Park - South   ,,Oroville,California,95965,18, -NP-,Chainstar,Concrete,39.498577,-121.577336,no,no,0,no,,
Riverview Park ,401 Willow Drive,Bakersfield,California,93308,18, -NP-,Baskets,Concrete,35.400691,-119.027840,no,no,0,no,,
Rocklin DGC  ,5480 5th Street,Rocklin,California,95677,18, -NP-,Mach 3,Concrete,38.789848,-121.245720,no,no,0,no,,
Ryan Ranch DGC  ,,Monterey,California,93940,29, -NP-,Mach 5,Rubber,36.583314,-121.824195,no,no,0,no,,
Sacramento River RV Park     ,6596 Riverland Dr,Redding,California,96002,18, -NP-,Mach 3,Concrete,40.476773,-122.317632,yes,yes,0,no,,
